連番,索引番号,山名＜山頂名＞,山名よみ＜山頂名よみ＞,標高値(m),種別,都道府県,緯度,経度
1,1,知床岳,しれとこだけ,1254,三角点,北海道,44.235726,145.27394
2,2,硫黄山,いおうざん,1562,三角点,北海道,44.133258,145.16129
3,3,知円別岳,ちえんべつだけ,1544,標高点,北海道,44.124615,145.168839
4,4,サシルイ岳,さしるいだけ,1564,標高点,北海道,44.095319,145.143678
5,5,羅臼岳,らうすだけ,1660,測定点,北海道,44.075917,145.122246
6,6,遠音別岳,おんねべつだけ,1330,三角点,北海道,43.993399,145.013274
7,7,海別岳,うなべつだけ,1419,三角点,北海道,43.876845,144.87654
8,8,斜里岳,しゃりだけ,1547,標高点,北海道,43.765743,144.717659
9,9,標津岳,しべつだけ,1061,標高点,北海道,43.668171,144.704818
10,10,藻琴山,もことやま,1000,三角点,北海道,43.704313,144.330987
11,11,アトサヌプリ（硫黄山）,あとさぬぷり（いおうざん）,508,標高点,北海道,43.610395,144.438652
12,12,カムイヌプリ（摩周岳）,かむいぬぷり（ましゅうだけ）,857,標高点,北海道,43.572273,144.560902
13,13,雄阿寒岳,おあかんだけ,1370,三角点,北海道,43.454056,144.164617
14,14-1,雌阿寒岳,めあかんだけ,1499,標高点,北海道,43.386318,144.008813
15,14-2,雌阿寒岳＜阿寒富士＞,めあかんだけ＜あかんふじ＞,1476,三角点,北海道,43.374063,144.006504
16,15,ウコタキヌプリ,うこたきぬぷり,747,標高点,北海道,43.208527,143.797571
17,16,礼文岳,れぶんだけ,490,三角点,北海道,45.37252,141.015803
18,17,利尻山（利尻富士）,りしりざん（りしりふじ）,1721,標高点,北海道,45.178536,141.242036
19,18,幌尻山,ぽろしりやま,427,三角点,北海道,45.165622,142.008524
20,19,パンケ山,ぱんけざん,632,三角点,北海道,44.857042,142.149839
21,20,ポロヌプリ山,ぽろぬぷりざん,841,標高点,北海道,44.961847,142.420377
22,21,敏音知岳,ぴんねしりだけ,703,三角点,北海道,44.89306,142.234535
23,22,函岳,はこだけ,1129,三角点,北海道,44.665888,142.412131
24,23,ピヤシリ山,ぴやしりやま,987,三角点,北海道,44.433695,142.584098
25,24,欝岳,うつだけ,818,三角点,北海道,44.291743,143.08253
26,25,ウエンシリ岳,うえんしりだけ,1142,三角点,北海道,44.228801,142.876338
27,26,渚滑岳,しょこつだけ,1345,三角点,北海道,44.040358,142.917386
28,27,天塩岳,てしおだけ,1557,三角点,北海道,43.964372,142.887986
29,28,チトカニウシ山,ちとかにうしやま,1445,三角点,北海道,43.906794,143.048547
30,29,仁頃山,にころやま,829,三角点,北海道,43.878268,143.718209
31,30,ニセイカウシュッペ山,にせいかうしゅっぺやま,1883,標高点,北海道,43.779967,142.985346
32,31,武利岳,むりいだけ,1876,三角点,北海道,43.732934,143.176511
33,32,武華山,むかやま,1759,三角点,北海道,43.705705,143.160519
34,33,北見富士,きたみふじ,1291,三角点,北海道,43.693735,143.295921
35,34-1,大雪山（ヌタプカウシペ）＜旭岳＞,たいせつざん（ぬたぷかうしぺ）＜あさひだけ＞,2291,三角点,北海道,43.663582,142.854138
36,34-2,大雪山（ヌタプカウシペ）＜黒岳＞,たいせつざん（ぬたぷかうしぺ）＜くろだけ＞,1984,標高点,北海道,43.6975,142.920277
37,34-3,大雪山（ヌタプカウシペ）＜北鎮岳＞,たいせつざん（ぬたぷかうしぺ）＜ほくちんだけ＞,2244,標高点,北海道,43.692768,142.8799
38,34-4,大雪山（ヌタプカウシペ）＜愛別岳＞,たいせつざん（ぬたぷかうしぺ）＜あいべつだけ＞,2113,標高点,北海道,43.707911,142.857119
39,34-5,大雪山（ヌタプカウシペ）＜白雲岳＞,たいせつざん（ぬたぷかうしぺ）＜はくうんだけ＞,2230,三角点,北海道,43.661188,142.905915
40,35,忠別岳,ちゅうべつだけ,1963,標高点,北海道,43.59108,142.894507
41,36,トムラウシ山,とむらうしやま,2141,三角点,北海道,43.527111,142.84879
42,37,オプタテシケ山,おぷたてしけやま,2012,三角点,北海道,43.470244,142.751538
43,38,美瑛岳,びえいだけ,2052,三角点,北海道,43.439895,142.706563
44,39,十勝岳,とかちだけ,2077,標高点,北海道,43.417859,142.686283
45,40,上ホロカメットク山,かみほろかめっとくやま,1920,標高点,北海道,43.404887,142.671772
46,41,富良野岳,ふらのだけ,1912,三角点,北海道,43.393723,142.634976
47,42,三国山,みくにやま,1541,三角点,北海道,43.595395,143.146416
48,43,石狩岳,いしかりだけ,1967,標高点,北海道,43.546573,143.022311
49,44,音更山,おとふけやま,1932,三角点,北海道,43.561775,143.03531
50,45,ニペソツ山,にぺそつやま,2013,標高点,北海道,43.455985,143.032245
51,46,ウペペサンケ山,うぺぺさんけやま,1848,標高点,北海道,43.389519,143.082096
52,47,東ヌプカウシヌプリ,ひがしぬぷかうしぬぷり,1252,三角点,北海道,43.245784,143.102143
53,48,佐幌岳,さほろだけ,1059,三角点,北海道,43.173381,142.780995
54,49,西クマネシリ岳,にしくまねしりだけ,1635,標高点,北海道,43.519124,143.233282
55,50,東三国山,ひがしみくにやま,1230,三角点,北海道,43.508208,143.463732
56,51,喜登牛山,きとうしやま,1312,三角点,北海道,43.447692,143.456324
57,52,ピッシリ山,ぴっしりざん,1031,三角点,北海道,44.355624,142.032063
58,53,三頭山,さんとうさん,1009,三角点,北海道,44.091549,142.085817
59,54,ポロシリ山,ぽろしりやま,730,三角点,北海道,43.962587,141.836233
60,55,暑寒別岳,しょかんべつだけ,1491,三角点,北海道,43.715865,141.522949
61,56,群別岳,くんべつだけ,1376,三角点,北海道,43.68474,141.487671
62,57,ピンネシリ,ぴんねしり,1100,三角点,北海道,43.491807,141.70674
63,58,イルムケップ山,いるむけっぷやま,864,三角点,北海道,43.629214,142.110281
64,59,富良野西岳,ふらのにしだけ,1331,三角点,北海道,43.309197,142.311645
65,60,芦別岳,あしべつだけ,1726,三角点,北海道,43.23573,142.283553
66,61,幾春別岳,いくしゅんべつだけ,1068,標高点,北海道,43.227072,142.159415
67,62,夕張岳,ゆうばりだけ,1668,三角点,北海道,43.099691,142.251011
68,63,ハッタオマナイ岳,はったおまないだけ,1021,三角点,北海道,42.846969,142.313123
69,64,トマム山,とまむやま,1239,三角点,北海道,43.078634,142.596096
70,65,芽室岳,めむろだけ,1753,三角点,北海道,42.868967,142.785395
71,66,剣山,つるぎやま,1205,三角点,北海道,42.848703,142.885059
72,67,チロロ岳,ちろろだけ,1880,三角点,北海道,42.825585,142.675406
73,68,ピパイロ岳,ぴぱいろだけ,1916,三角点,北海道,42.773184,142.72761
74,69,戸蔦別岳,とったべつだけ,1959,標高点,北海道,42.738665,142.695107
75,70,幌尻岳,ぽろしりだけ,2052,三角点,北海道,42.719435,142.682894
76,71,エサオマントッタベツ岳,えさおまんとったべつだけ,1902,標高点,北海道,42.689411,142.757826
77,72,札内岳,さつないだけ,1895,三角点,北海道,42.693848,142.79675
78,73,十勝幌尻岳,とかちぽろしりだけ,1846,三角点,北海道,42.695467,142.859408
79,74,イドンナップ岳,いどんなっぷだけ,1752,標高点,北海道,42.630386,142.648841
80,75,カムイエクウチカウシ山,かむいえくうちかうしやま,1979,三角点,北海道,42.625112,142.766406
81,76,１８３９峰,いっぱさんきゅうほう,1842,標高点,北海道,42.539346,142.808116
82,77,ペテガリ岳,ぺてがりだけ,1736,三角点,北海道,42.499337,142.871019
83,78,中ノ岳,なかのだけ,1519,標高点,北海道,42.468032,142.884608
84,79,神威岳,かむいだけ,1600,三角点,北海道,42.428465,142.906866
85,80,ピリカヌプリ,ぴりかぬぷり,1630,三角点,北海道,42.402225,142.966802
86,81,楽古岳,らっこだけ,1471,三角点,北海道,42.272513,143.111252
87,82,豊似岳,とよにだけ,1104,三角点,北海道,42.076973,143.232975
88,83,アポイ岳,あぽいだけ,810,三角点,北海道,42.107849,143.025658
89,84,藻岩山,もいわやま,531,三角点,北海道,43.02238,141.322328
90,85,手稲山,ていねやま,1023,三角点,北海道,43.076737,141.192632
91,86,余市岳,よいちだけ,1488,三角点,北海道,43.032728,141.019787
92,87,本倶登山,ぽんくとさん,1009,三角点,北海道,42.955178,140.912621
93,88,無意根山,むいねやま,1464,標高点,北海道,42.930775,141.040671
94,89,札幌岳,さっぽろだけ,1293,三角点,北海道,42.900189,141.200521
95,90,空沼岳,そらぬまだけ,1251,標高点,北海道,42.865007,141.253694
96,91,恵庭岳,えにわだけ,1320,標高点,北海道,42.793311,141.285351
97,92,風不死岳,ふっぷしだけ,1102,三角点,北海道,42.716842,141.358874
98,93,樽前山,たるまえさん,1041,標高点,北海道,42.690539,141.37665
99,94,ホロホロ山,ほろほろやま,1322,三角点,北海道,42.633513,141.142532
100,95,余別岳,よべつだけ,1298,三角点,北海道,43.26006,140.459136
101,96,天狗岳,てんぐだけ,872,三角点,北海道,43.184805,140.660816
102,97,雷電山,らいでんやま,1211,三角点,北海道,42.903633,140.469623
103,98,目国内岳,めくんないだけ,1220,標高点,北海道,42.899746,140.515293
104,99,ニセコアンヌプリ,にせこあんぬぷり,1308,三角点,北海道,42.875018,140.658839
105,100,羊蹄山（蝦夷富士）,ようていざん（えぞふじ）,1898,標高点,北海道,42.826659,140.811488
106,101,尻別岳,しりべつだけ,1107,三角点,北海道,42.772572,140.910348
107,102,貫気別山,ぬっきべつやま,993,三角点,北海道,42.710081,140.92273
108,103,昆布岳,こんぶだけ,1045,三角点,北海道,42.71037,140.655469
109,104,昭和新山,しょうわしんざん,398,標高点,北海道,42.542555,140.86435
110,105,有珠山＜大有珠＞,うすざん＜おおうす＞,733,標高点,北海道,42.543998,140.839251
111,106,母衣月山,ほろづきやま,503,三角点,北海道,42.770126,140.214933
112,107,大平山,おおびらやま,1191,三角点,北海道,42.635959,140.135584
113,108,狩場山,かりばやま,1520,三角点,北海道,42.613353,139.940602
114,109,毛無山,けなしやま,816,標高点,北海道,42.295409,139.810731
115,110,遊楽部岳（見市岳）,ゆうらっぷだけ（けんいちだけ）,1277,標高点,北海道,42.219023,140.01034
116,111,乙部岳,おとべだけ,1017,三角点,北海道,42.03937,140.274586
117,112,駒ヶ岳＜剣ヶ峯＞,こまがたけ＜けんがみね＞,1131,標高点,北海道,42.063344,140.677287
118,113,横津岳,よこつだけ,1167,標高点,北海道,41.937884,140.771135
119,114,恵山,えさん,617,三角点,北海道,41.804707,141.166031
120,115,函館山,はこだてやま,334,標高点,北海道,41.759027,140.704302
121,116,八幡岳,はちまんだけ,664,三角点,北海道,41.851881,140.229991
122,117,桂岳,かつらだけ,734,三角点,北海道,41.789257,140.4644
123,118,七ッ岳,ななつだけ,957,三角点,北海道,41.624218,140.21407
124,119,大千軒岳,だいせんげんだけ,1072,三角点,北海道,41.579319,140.160818
125,120,岩部岳,いわべだけ,794,三角点,北海道,41.527175,140.310867
126,121,神威山,かむいやま,584,標高点,北海道,42.160273,139.442662
127,122,江良岳,えらだけ,731,三角点,北海道,41.509904,139.367158
128,123,燧岳,ひうちだけ,781,三角点,青森県,41.439132,141.052919
129,124,釜臥山,かまふせやま,878,三角点,青森県,41.278517,141.120015
130,125,桑畑山,くわばたやま,400,三角点,青森県,41.387582,141.440735
131,126,吹越烏帽子,ふっこしえぼし,508,三角点,青森県,41.037443,141.317141
132,127,丸屋形岳,まるやがただけ,718,三角点,青森県,41.152825,140.586625
133,128,四ッ滝山,よつだきやま,669,三角点,青森県,41.12169,140.400483
134,129,梵珠山,ぼんじゅさん,468,三角点,青森県,40.799693,140.575489
135,130,階上岳（種市岳）,はしかみだけ（たねいちだけ）,739,三角点,青森県 岩手県,40.400693,141.584364
136,131,名久井岳,なくいだけ,615,三角点,青森県,40.387975,141.308363
137,132,折爪岳,おりつめだけ,852,三角点,岩手県,40.26876,141.374481
138,133,安家森,あっかもり,1239,三角点,岩手県,40.038037,141.540989
